Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","792","Türkiye","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","199004.64","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","800","Uganda","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","7306.41","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","804","Ukraine","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","47630.98","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","784","United Arab Emirates","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","17540.91","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","826","United Kingdom of Great Britain and Northern Ireland","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","1328153.28","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","834","United Republic of Tanzania","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","12140.38","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","840","United States of America","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","4241300","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","858","Uruguay","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","12113.56","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","860","Uzbekistan","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","11760.09","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","548","Vanuatu","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","368.43","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","894","Zambia","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","5778.84","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","716","Zimbabwe","6110","Value US$","23160","Total Expenditure (Central Government)","2020","2020","millions","1374.43","E","Estimated value","Budgetary Central Government Expenditure"
